Product,StarQuik Price,Blinkit Price,Price Difference,Percentage Difference (%)
Protein Powder (500g),750,825,75,10
Cashews (200g),290,330,40,13.8
Almonds (200g),310,350,40,12.9
Pistachios (200g),350,395,45,12.9
Walnuts (200g),375,425,50,13.3
Raisins (200g),95,110,15,15.8
Dates (250g),125,142,17,13.6
Dried Apricots (200g),195,225,30,15.4
Lentil Chips (100g),75,85,10,13.3
Rice Cakes (100g),85,95,10,11.8
Nutrition Bar (60g),55,62,7,12.7
Protein Bar (60g),95,110,15,15.8
Hand Sanitizer (100ml),55,62,7,12.7
Hand Wash (250ml),95,105,10,10.5
Body Wash (250ml),145,165,20,13.8
Shampoo (200ml),165,185,20,12.1
Conditioner (200ml),175,195,20,11.4
Hair Oil (100ml),95,105,10,10.5
Face Wash (100ml),120,135,15,12.5
Moisturizer (100ml),195,220,25,12.8
Sunscreen (100ml),275,310,35,12.7
Toothpaste (100g),55,62,7,12.7
Toothbrush (1pc),45,52,7,15.6
Dental Floss (1pc),65,75,10,15.4
Mouthwash (250ml),125,140,15,12
Shaving Cream (100g),95,105,10,10.5
Razor (1pc),85,95,10,11.8
Deodorant (150ml),135,150,15,11.1
Toilet Paper (6 rolls),110,125,15,13.6
Tissue Paper (100 sheets),45,50,5,11.1
Cotton Swabs (100pcs),55,62,7,12.7
Baby Diapers (20pcs),385,425,40,10.4
Baby Wipes (72pcs),110,125,15,13.6
Baby Powder (200g),95,105,10,10.5
Baby Shampoo (200ml),145,165,20,13.8
Dog Food (1kg),350,385,35,10
Cat Food (1kg),385,425,40,10.4
Pet Shampoo (200ml),165,185,20,12.1
Dish Soap (500ml),65,72,7,10.8
Detergent (1kg),195,215,20,10.3
Fabric Softener (500ml),125,140,15,12
Bleach (500ml),65,75,10,15.4
All-Purpose Cleaner (500ml),85,95,10,11.8
Glass Cleaner (500ml),75,85,10,13.3
Floor Cleaner (1L),95,105,10,10.5
Insect Repellent (250ml),145,165,20,13.8
Air Freshener (300ml),120,135,15,12.5
Candles (5pcs),85,95,10,11.8
Kitchen Towel (2 rolls),65,72,7,10.8
Sponge (3pcs),45,52,7,15.6
Scouring Pad (3pcs),35,40,5,14.3
Garbage Bags (20pcs),75,85,10,13.3
Aluminum Foil (10m),65,75,10,15.4
Cling Film (30m),85,95,10,11.8
Baking Paper (10m),75,85,10,13.3
Baking Soda (250g),45,52,7,15.6
Vinegar (500ml),45,50,5,11.1
Lemon Juice (250ml),55,62,7,12.7
Coconut Milk (400ml),95,105,10,10.5
Fresh Milk (500ml),35,38,3,8.6
Soy Milk (1L),95,105,10,10.5
Almond Milk (1L),145,165,20,13.8
Oat Milk (1L),135,150,15,11.1
Cream (200ml),65,72,7,10.8
Whipping Cream (200ml),95,105,10,10.5
Cottage Cheese (200g),85,95,10,11.8
Mozzarella (200g),145,165,20,13.8
Cheddar Cheese (200g),165,185,20,12.1
Parmesan Cheese (100g),195,220,25,12.8
Butter (100g),55,62,7,12.7
Margarine (500g),95,105,10,10.5
Frozen Pizza (300g),195,215,20,10.3
Frozen French Fries (500g),145,165,20,13.8
Frozen Nuggets (300g),165,185,20,12.1
Fresh Tomatoes (1kg),45,52,7,15.6
Fresh Potatoes (1kg),35,40,5,14.3
Fresh Onions (1kg),40,44,4,10
Fresh Spinach (250g),35,40,5,14.3
Fresh Carrots (500g),35,38,3,8.6
Fresh Beans (250g),40,45,5,12.5
Fresh Cauliflower (1pc),45,50,5,11.1
Fresh Cabbage (1pc),40,45,5,12.5
Fresh Cucumber (500g),30,34,4,13.3
Fresh Capsicum (500g),45,52,7,15.6
Fresh Broccoli (250g),65,75,10,15.4
Fresh Mushrooms (200g),55,62,7,12.7
Fresh Garlic (100g),30,34,4,13.3
Fresh Ginger (100g),25,28,3,12
Fresh Lemons (500g),60,68,8,13.3
Fresh Apples (1kg),95,105,10,10.5
Fresh Bananas (1kg),55,62,7,12.7
Fresh Oranges (1kg),85,95,10,11.8
Fresh Grapes (500g),65,72,7,10.8
Fresh Watermelon (1kg),35,40,5,14.3
Fresh Papaya (1pc),65,72,7,10.8
Fresh Pineapple (1pc),75,85,10,13.3
Fresh Mango (1kg),135,150,15,11.1
Fresh Strawberries (250g),95,105,10,10.5
Fresh Blueberries (125g),175,195,20,11.4
Chicken (1kg),195,215,20,10.3
Mutton (1kg),650,720,70,10.8
Fish (500g),225,250,25,11.1
Prawns (250g),275,310,35,12.7
Pork (500g),250,280,30,12
Beef (500g),295,325,30,10.2
Sausages (250g),165,185,20,12.1
Bacon (200g),195,220,25,12.8
Salami (100g),145,165,20,13.8
Ham (200g),175,195,20,11.4
Flour Tortillas (8pcs),75,85,10,13.3
Pita Bread (6pcs),65,72,7,10.8
Burger Buns (4pcs),45,50,5,11.1
Hot Dog Buns (4pcs),45,50,5,11.1
Bagels (4pcs),95,105,10,10.5
Croissants (4pcs),125,140,15,12
Muffins (4pcs),95,105,10,10.5
Donuts (4pcs),85,95,10,11.8
Cake (500g),275,310,35,12.7
Pastry (1pc),55,62,7,12.7
Cupcakes (4pcs),95,105,10,10.5
Brownies (4pcs),125,140,15,12
Cookies (250g),85,95,10,11.8
White Bread (400g),35,40,5,14.3
Brown Bread (400g),45,52,7,15.6
Multigrain Bread (400g),65,72,7,10.8
Sandwich Bread (400g),40,45,5,12.5
Baguette (1pc),65,72,7,10.8
Toast (200g),45,50,5,11.1
Rusk (200g),40,44,4,10
Dry Fruits Mix (200g),225,250,25,11.1
Trail Mix (200g),195,215,20,10.3
Popcorn (100g),45,50,5,11.1
Pretzels (200g),125,140,15,12
Nachos (150g),95,105,10,10.5
Tortilla Chips (150g),85,95,10,11.8
Rice Crackers (150g),95,105,10,10.5
Peanuts (200g),95,105,10,10.5
Cashews Roasted (200g),325,360,35,10.8
Almonds Roasted (200g),350,385,35,10
Pistachios Roasted (200g),375,415,40,10.7
Walnuts Shelled (200g),395,435,40,10.1
Mixed Nuts (200g),275,310,35,12.7
Sugar Free Gum (10pcs),35,40,5,14.3
Candies (100g),45,50,5,11.1
Hard Candies (100g),40,44,4,10
Mint Candies (50g),35,40,5,14.3
Dark Chocolate (100g),125,140,15,12
Milk Chocolate (100g),110,125,15,13.6
White Chocolate (100g),125,140,15,12
Chocolate Bar (50g),55,62,7,12.7
Chocolate Spread (350g),195,215,20,10.3
Nutella (350g),325,360,35,10.8
Almond Butter (200g),295,325,30,10.2
Cashew Butter (200g),325,360,35,10.8
Maple Syrup (250ml),275,310,35,12.7
Pancake Mix (500g),145,165,20,13.8
Waffle Mix (500g),165,185,20,12.1
Cookie Mix (400g),125,140,15,12
Cake Mix (400g),145,165,20,13.8
Brownie Mix (400g),165,185,20,12.1
Muffin Mix (400g),135,150,15,11.1
Custard Powder (100g),45,50,5,11.1
Gelatin (50g),65,72,7,10.8
Baking Powder (100g),35,40,5,14.3
Baking Soda (100g),25,28,3,12
Cornstarch (100g),35,40,5,14.3
Food Color (30ml),45,50,5,11.1
Vanilla Extract (30ml),95,105,10,10.5
Cocoa Powder (100g),85,95,10,11.8
Drinking Chocolate (200g),125,140,15,12
Malt Powder (200g),95,105,10,10.5
Coffee Creamer (200g),85,95,10,11.8
Coffee Filter (100pcs),75,85,10,13.3
Tea Bags (100pcs),145,165,20,13.8
Green Tea Bags (25pcs),125,140,15,12
Herbal Tea Bags (25pcs),135,150,15,11.1
Black Tea Leaves (100g),95,105,10,10.5
Lemon Tea (25pcs),75,85,10,13.3
Masala Tea (100g),85,95,10,11.8
Earl Grey Tea (25pcs),95,105,10,10.5
Chamomile Tea (25pcs),125,140,15,12
Jasmine Tea (25pcs),145,165,20,13.8
Peppermint Tea (25pcs),135,150,15,11.1
Iced Tea Mix (500g),95,105,10,10.5
Coffee Beans (250g),295,325,30,10.2
Ground Coffee (250g),275,310,35,12.7
Instant Coffee (100g),195,215,20,10.3
Decaf Coffee (100g),225,250,25,11.1
Espresso Coffee (100g),275,310,35,12.7
French Roast Coffee (250g),325,360,35,10.8
Cappuccino Mix (200g),165,185,20,12.1
Latte Mix (200g),175,195,20,11.4
Hot Chocolate Mix (200g),145,165,20,13.8
Soda (2L),75,82,7,9.3
Cola (2L),75,82,7,9.3
Lemonade (2L),65,72,7,10.8
Orange Juice (1L),95,105,10,10.5
Apple Juice (1L),85,95,10,11.8
Mixed Fruit Juice (1L),95,105,10,10.5
Grape Juice (1L),125,140,15,12
Cranberry Juice (1L),175,195,20,11.4
Mango Juice (1L),125,140,15,12
Pineapple Juice (1L),95,105,10,10.5
Coconut Water (1L),125,140,15,12
Sparkling Water (1L),65,72,7,10.8
Flavored Water (500ml),45,50,5,11.1
Energy Drink (250ml),95,105,10,10.5
Sports Drink (500ml),65,72,7,10.8
Protein Shake (330ml),125,140,15,12
Smoothie (330ml),95,105,10,10.5
Lassi (200ml),45,50,5,11.1
Buttermilk (200ml),25,28,3,12
Milkshake (330ml),75,82,7,9.3
Beer Non-alcoholic (330ml),95,105,10,10.5
Ginger Ale (330ml),65,72,7,10.8
Tonic Water (330ml),75,85,10,13.3
Root Beer (330ml),95,105,10,10.5
Ice Tea (500ml),65,72,7,10.8
Red Wine Vinegar (250ml),125,140,15,12
White Wine Vinegar (250ml),135,150,15,11.1
Balsamic Vinegar (250ml),225,250,25,11.1
Apple Cider Vinegar (250ml),95,105,10,10.5
Rice Vinegar (250ml),135,150,15,11.1
Soy Sauce (200ml),75,85,10,13.3
Fish Sauce (200ml),125,140,15,12
Oyster Sauce (200ml),145,165,20,13.8
Worcestershire Sauce (200ml),175,195,20,11.4
Hot Sauce (150ml),95,105,10,10.5
Chilli Sauce (200ml),85,95,10,11.8
Barbecue Sauce (300ml),125,140,15,12
Pasta Sauce (400g),145,165,20,13.8
Pizza Sauce (200g),95,105,10,10.5
Salsa (200g),135,150,15,11.1
Guacamole (150g),125,140,15,12
Hummus (200g),145,165,20,13.8
Tahini (150g),195,215,20,10.3
Pesto (150g),175,195,20,11.4
Salad Dressing (200ml),125,140,15,12
Olive Oil Extra Virgin (500ml),475,525,50,10.5
Olive Oil Light (500ml),375,415,40,10.7
Canola Oil (1L),165,185,20,12.1
Vegetable Oil (1L),145,160,15,10.3
Peanut Oil (500ml),195,215,20,10.3
Sesame Oil (250ml),225,250,25,11.1
Walnut Oil (250ml),350,385,35,10
Avocado Oil (250ml),395,435,40,10.1
Coconut Oil (500ml),295,325,30,10.2
Rice Bran Oil (1L),195,215,20,10.3
Groundnut Oil (1L),195,215,20,10.3
Mustard Oil (1L),165,185,20,12.1
Salt (500g),20,22,2,10
Black Salt (100g),35,40,5,14.3
Rock Salt (100g),25,28,3,12
Sea Salt (100g),45,50,5,11.1
Pink Salt (100g),65,72,7,10.8
Iodized Salt (1kg),25,28,3,12
Table Salt (1kg),22,24,2,9.1
Black Pepper Whole (100g),95,105,10,10.5
Black Pepper Ground (100g),85,95,10,11.8
White Pepper (50g),75,85,10,13.3
Red Chilli Flakes (50g),65,72,7,10.8
Mixed Herbs (30g),95,105,10,10.5
Italian Seasoning (30g),125,140,15,12
Mexican Seasoning (30g),135,150,15,11.1
Cajun Seasoning (30g),145,165,20,13.8
Curry Powder (100g),85,95,10,11.8
Chicken Masala (100g),95,105,10,10.5
Meat Masala (100g),95,105,10,10.5
Fish Masala (100g),85,95,10,11.8
Biryani Masala (50g),45,50,5,11.1
Tandoori Masala (50g),45,52,7,15.6
Chaat Masala (50g),45,50,5,11.1
Pav Bhaji Masala (50g),45,50,5,11.1
Sambar Masala (50g),45,50,5,11.1
Rasam Powder (100g),85,95,10,11.8
Jeera Powder (100g),65,72,7,10.8
Dhania Powder (100g),55,62,7,12.7
Garam Masala (50g),45,50,5,11.1
Sambhar Powder (100g),85,95,10,11.8
Kitchen King Masala (50g),45,50,5,11.1
Chhole Masala (50g),45,50,5,11.1
Rajma Masala (50g),45,50,5,11.1
Puliogare Powder (50g),45,50,5,11.1
Vangi Bath Powder (50g),45,50,5,11.1
Pickle Masala (50g),35,40,5,14.3
Pasta Seasoning (30g),95,105,10,10.5
Pizza Seasoning (30g),95,105,10,10.5
Garlic Powder (50g),65,72,7,10.8
Onion Powder (50g),65,72,7,10.8
Dried Oregano (30g),95,105,10,10.5
Dried Basil (30g),95,105,10,10.5
Dried Thyme (30g),95,105,10,10.5
Dried Rosemary (30g),95,105,10,10.5
Bay Leaves (10g),25,28,3,12
Cinnamon Sticks (50g),65,72,7,10.8
Cloves Whole (50g),85,95,10,11.8
Cardamom Green (50g),125,140,15,12
Cardamom Black (50g),145,165,20,13.8
Star Anise (50g),95,105,10,10.5
Fennel Seeds (100g),65,72,7,10.8
Cumin Seeds (100g),75,85,10,13.3
Mustard Seeds (100g),35,40,5,14.3
Fenugreek Seeds (100g),45,50,5,11.1
Ajwain (50g),35,40,5,14.3
Poppy Seeds (50g),95,105,10,10.5
Nigella Seeds (50g),75,85,10,13.3
Sesame Seeds White (100g),75,85,10,13.3
Sesame Seeds Black (100g),85,95,10,11.8
Carom Seeds (50g),45,50,5,11.1
Turmeric Whole (100g),75,85,10,13.3
Turmeric Powder (100g),45,50,5,11.1
Asafoetida (50g),95,105,10,10.5
Saffron (1g),375,415,40,10.7
Nutmeg Whole (50g),145,165,20,13.8
Mace (25g),125,140,15,12
Tamarind Paste (200g),95,105,10,10.5
Kokum (100g),65,72,7,10.8
Dry Mango Powder (100g),85,95,10,11.8
Dry Pomegranate Seeds (100g),145,165,20,13.8
Coriander Seeds (100g),45,50,5,11.1
Flaxseeds (100g),95,105,10,10.5
Hemp Seeds (100g),195,215,20,10.3
Pumpkin Seeds (100g),175,195,20,11.4
Watermelon Seeds (100g),145,165,20,13.8
Chia Seeds (100g),225,250,25,11.1
Quinoa (500g),275,310,35,12.7
Couscous (500g),195,215,20,10.3
Bulgur Wheat (500g),145,165,20,13.8
Millet (500g),85,95,10,11.8
Pearl Barley (500g),95,105,10,10.5
Arborio Rice (500g),195,215,20,10.3
Jasmine Rice (1kg),135,150,15,11.1
Wild Rice (250g),175,195,20,11.4
Red Rice (1kg),145,165,20,13.8
Black Rice (500g),225,250,25,11.1
Sushi Rice (500g),175,195,20,11.4
Sticky Rice (500g),145,165,20,13.8
Vermicelli (500g),55,62,7,12.7
Rice Noodles (500g),95,105,10,10.5
Egg Noodles (500g),75,85,10,13.3
Hakka Noodles (500g),65,72,7,10.8
Spaghetti (500g),95,105,10,10.5
Penne (500g),95,105,10,10.5
Farfalle (500g),125,140,15,12
Fusilli (500g),95,105,10,10.5
Macaroni (500g),75,85,10,13.3
Lasagna Sheets (250g),145,165,20,13.8
Cannelloni (250g),165,185,20,12.1
Canned Tomatoes (400g),95,105,10,10.5
Canned Beans (400g),65,72,7,10.8
Canned Chickpeas (400g),75,85,10,13.3
Canned Tuna (185g),145,165,20,13.8
Canned Sardines (125g),95,105,10,10.5
Canned Mushrooms (400g),125,140,15,12
Canned Corn (400g),85,95,10,11.8
Canned Peas (400g),75,85,10,13.3
Canned Mixed Vegetables (400g),85,95,10,11.8
Canned Soup (400g),95,105,10,10.5
Instant Noodles (70g),20,22,2,10
Instant Soup (25g),25,28,3,12
Ready to Eat Meals (300g),145,165,20,13.8
Frozen Pizza (400g),195,215,20,10.3
Frozen Vegetables (500g),125,140,15,12
Frozen Fruits (500g),175,195,20,11.4
Frozen Meat (500g),225,250,25,11.1
Frozen Fish (500g),275,310,35,12.7
Frozen Dessert (500g),175,195,20,11.4
Mango Pulp (850g),125,140,15,12
Paper Napkins (100pcs),65,72,7,10.8
Paper Plates (25pcs),95,105,10,10.5
Plastic Cups (50pcs),75,85,10,13.3
Plastic Spoons (50pcs),45,50,5,11.1
Plastic Forks (50pcs),45,50,5,11.1
Plastic Knives (50pcs),45,50,5,11.1
Stainless Steel Straw (4pcs),145,165,20,13.7
,,,,
,,,,
,,,,
Total,52896,59013,6117,11.5
